,EXEC,MEM,INST,L3MISS,INSTnom%,L3MPI,L2MPI,L3HIT,PhysIPC%,L2MISS,FREQ,IPC,GT,Pred
3188,0.6121889084852047,0.23661431064572433,0.24685307565682232,0.41143260409315463,0.611764705882353,0.18914285714285722,0.02346987951807229,0.31897127588510354,0.92398753894081,0.023525377229080928,0.3371696504688832,0.9242779078844653,1.035602064700389,1.028729575473699
6308,0.6051342347638644,0.23909831297265854,0.24774936401368436,0.41672547635850393,0.6054901960784314,0.19000000000000003,0.0236867469879518,0.32064128256513025,0.9190031152647973,0.02389574759945131,0.33461210571184996,0.9211553473848557,1.0399801300912832,1.0283928510404634
1461,0.5569272976680384,0.2513030831879,0.43303121852970805,0.4333098094565985,0.5576470588235294,0.21771428571428572,0.21433734939759033,0.9144956579826319,0.5261682242990653,0.1967078189300411,0.5387894288150041,0.5261514441842311,1.0417150931464354,1.0378174294445437
1999,0.582010582010582,0.22856311809191393,0.2593853459841897,0.398376852505293,0.5827450980392157,0.19357142857142864,0.02398795180722891,0.3183032732130929,0.8785046728971961,0.022757201646090536,0.3371696504688832,0.8821233411397347,1.0269286103473942,1.0287845963315188
3836,0.40917107583774254,0.27369982547993027,0.3683036575175164,0.44177840508115745,0.4094117647058823,0.3004285714285715,0.03866265060240964,0.34502338009352035,0.6186915887850467,0.0262002743484225,0.33631713554987214,0.6213895394223264,1.0298719349852263,1.0312771751891656
902,0.409954928473447,0.2765677719604422,0.3694374779743596,0.44530698659139034,0.41019607843137257,0.30700000000000005,0.039012048192771084,0.3350033400133601,0.6161993769470404,0.026063100137174205,0.3384484228473998,0.6182669789227168,1.0252304171744004,1.031073011407653
2126,0.40485988634136777,0.2732518906340896,0.37311074428213997,0.4724770642201837,0.40470588235294114,0.3295714285714287,0.041626506024096385,0.33132932531730125,0.611214953271028,0.02744855967078189,0.33631713554987214,0.6135831381733025,1.040008726566557,1.0318605123522535
1905,0.9555163629237704,0.23070971495055267,0.23714142885087702,0.39908256880733955,0.956862745098039,0.1162857142857143,0.014433734939759036,0.3169672678690715,0.9563862928348907,0.022825788751714683,0.505541346973572,0.9633099141295861,1.0334248702479925,1.0278412369438306
431,0.5682931608857534,0.24351948807446194,0.41969783640916386,0.41919548341566704,0.5686274509803924,0.20600000000000004,0.10385542168674695,0.8283233132932531,0.5433021806853583,0.0973936899862826,0.5319693094629157,0.5433255269320844,1.0331572319663471,1.053021718997362
339,0.5745639819713892,0.23553228621291453,0.2634052515518598,0.41037402964008485,0.575686274509804,0.20042857142857146,0.024578313253012043,0.3122912491649967,0.8651090342679127,0.02319615912208505,0.3375959079283887,0.8665105386416863,1.0293313797935082,1.0282302992526176
5689,0.5839702135998431,0.22859220477021527,0.2595454518261494,0.3969654199011998,0.5835294117647059,0.19100000000000006,0.023590361445783126,0.3159652638610554,0.8785046728971961,0.022578875171467765,0.3380221653878943,0.8805620608899298,1.029220119000101,1.0287012621074503
1580,0.6129727611209093,0.22368237347294945,0.2454552264045161,0.3884968242766409,0.6133333333333333,0.17728571428571432,0.022204819277108434,0.32398129592518365,0.926791277258567,0.02241426611796982,0.33589087809036655,0.9289617486338796,1.0308088852474058,1.0293478996072383
4174,0.39124044679600234,0.8712914485165796,0.6515743302945488,0.5142025405786875,0.3917647058823529,0.37178571428571444,0.05650301204819277,0.38827655310621245,0.4021028037383177,0.03713991769547325,0.5674552429667519,0.4030444964871195,1.085575605550596,1.0867189833922986
327,0.8763472467176171,0.21367655613728917,0.4379607645161036,0.3747353563867327,0.8768627450980393,0.11885714285714288,0.4289156626506023,0.9776219104876421,0.5202492211838005,0.6241426611796982,0.8563512361466327,0.5214676034348167,1.082545378650022,1.130969439930757
