,EXEC,L2MISS,L3MISS,L3MPI,INST,PhysIPC%,L3HIT,IPC,INSTnom%,MEM,FREQ,L2MPI,GT,Pred
569,0.31966666666666665,0.026888495575211717,0.010439010439004722,0.010657074340532374,0.35489849165800574,0.6589371980673914,0.992833333333,0.6594202898550725,0.319555555556,0.02017202780723931,0.27979291272775236,0.03709703287892425,1.00232411097,1.0209397183747844
717,0.3236,0.028921061946892413,0.01227970827970828,0.01239136690647482,0.3518058829521616,0.6649275362318842,0.992,0.6652173913043479,0.3234666666666667,0.024735242135030044,0.2807833301175841,0.03940657578189231,1.0149474859999998,1.0186473531073739
503,0.318285714286,0.024594690265478017,0.01097750812036036,0.011418293936273383,0.3562301469922333,0.6563146997927536,0.991571428571,0.6563146997934783,0.3182857142853333,0.0215947078725486,0.27954025523035714,0.034509107572483766,1.01804059009,1.0212883797889327
620,0.3183703703706667,0.025776991150429814,0.016807283473942513,0.016944844124748202,0.36463414799780625,0.6423510466985508,0.9886666666670001,0.6425120772934784,0.31851851851866664,0.027134833667147404,0.28651360216080013,0.03595429029671449,1.03264036678,1.0217232653416355
78,0.3066666666666667,0.05150088495587557,0.6239954239948521,0.6702158273381296,0.6761901546246437,0.45789049919492764,0.7891111111110001,0.4581320450869565,0.3066666666666667,0.7434114920862495,0.5124230925889398,0.07433841218928403,1.1757343979000001,1.2064428846097561
190,0.4235,0.02198230088494797,0.009407979407979408,0.00729136690647482,0.26931173423601557,0.8695652173913044,0.99175,0.8695652173913044,0.424,0.014499823259102157,0.28094250434100676,0.02308640737771575,1.0047786784700001,1.01627969569974
250,0.3146666666666667,0.0597634754625983,0.7308139308142428,0.7490516677568345,0.8494019214785016,0.37048748353115946,0.7909999999999999,0.37038866930072467,0.31478787878799996,0.8276615572484977,0.6587883465170138,0.0815983815702813,1.1532962426200002,1.1873074930106842
718,0.2951111111113333,0.044941592920444265,0.3767195767190048,0.41199040767338135,0.5645050878334371,0.4833333333333334,0.8725,0.4830917874384058,0.29488888888933334,0.6084599976443973,0.4108463566790813,0.06814354450672339,1.11178889802,1.1158519531327795
407,0.33133333333333337,0.06247433628316371,0.7674817674817676,0.7370503597122302,1.0,0.28695652173913044,0.7715,0.28695652173913044,0.332,0.8900671615411806,0.8165637661582803,0.08092421812352885,1.05554262752,1.023258170498174
137,0.293703703704,0.03468672566377533,0.3452595452595453,0.36604316546762594,0.6411802697899704,0.4407407407405798,0.834222222222,0.4407809983913044,0.29392592592533334,0.5892934291650761,0.46349175724060837,0.05080994386529703,1.09227618725,1.0682196116314069
